Country,Project Name,Project Link,Implementing Entity,Approved Amount (USD),Amount Transferred (USD),Approval Date,Status,Grant Category
Mongolia,Flood Resilience in Ulaanbaatar Ger Areas - Climate Change Adaptation through community-driven small-scale protective and basic-services interventions,https://www.adaptation-fund.org/project/flood-resilience-ulaanbaatar-ger-areas-fruga-climate-change-adaptation-community-driven-small-scale-protective-basic-services-interventions-2/,UN-Habitat,4495235.0,4495235.0,2018-07-16,Project Under Implementation,Regular Size Project
Mongolia,Ecosystem Based Adaptation Approach to Maintaining Water Security in Critical Water Catchments in Mongolia,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-approach-to-maintaining-water-security-in-critical-water-catchments-in-mongolia/,UN Development Programme,5500000.0,5500000.0,2011-06-22,Project Completed,Regular Size Project
Montenegro,Adaptation to Climate Change and Resilience in the Montenegrin Mountain Areas-Gora,https://www.adaptation-fund.org/project/adaptation-to-climate-change-and-resilience-in-the-montenegrin-mountain-areas-gora/,International Fund Agricultural Dev,10000000.0,1942373.0,2023-07-05,Proposal Approved,Regular Size Project
Morocco,Climate changes adaptation project in oasis zones – PACC-ZO,https://www.adaptation-fund.org/project/climate-changes-adaptation-project-in-oasis-zones-pacc-zo-2/,Agence pour le Developpement Agricole,9970000.0,9970000.0,2015-04-08,Project Under Implementation,Regular Size Project
Myanmar,Addressing Climate Change Risks on Water Resources and Food Security in the Dry Zone of Myanmar,https://www.adaptation-fund.org/project/addressing-climate-change-risks-on-water-and-food-security-in-the-dry-zone-of-myanmar/,UN Development Programme,7909026.0,7909026.0,2014-02-27,Project Completed,Regular Size Project
Namibia,Pilot rural desalination plants using renewable power and membrane technology,https://www.adaptation-fund.org/project/pilot-rural-desalination-plants-using-renewable/,Desert Research Foundation of Namibia,4999674.0,4999674.0,2017-10-13,Project Under Implementation,Small Size Project
Nauru,Resilient Coastal Fisheries and Aquaculture in Nauru,https://www.adaptation-fund.org/project/resilient-coastal-fisheries-and-aquaculture-in-nauru/,The Pacific Community,7999493.0,837939.0,2023-03-24,Proposal Approved,Regular Size Project
Nepal,Adapting to climate induced threats to food production and food security in the Karnali Region of Nepal,https://www.adaptation-fund.org/project/adapting-to-climate-induced-threats-to-food-production-and-food-security-in-the-karnali-region-of-nepal-3/,UN World Food Programme,9527160.0,9527160.0,2015-04-01,Project Under Implementation,Regular Size Project
Nicaragua,Reduction of Risks and Vulnerability Based on Flooding and Droughts in the Estero Real Watershed,https://www.adaptation-fund.org/project/reduction-of-risks-and-vulnerability-based-on-flooding-and-droughts-in-the-estero-real-river-watershed/,UN Development Programme,5500950.0,5500950.0,2010-12-15,Project Completed,Regular Size Project
Niger,"Enhancing Resilience of Agriculture to Climate Change to Support Food Security in Niger, through Modern Irrigation Techniques",https://www.adaptation-fund.org/project/enhancing-resilience-of-agriculture-to-climate-change-to-support-food-security-in-niger-through-modern-irrigation-techniques-2/,Banque Ouest Africaine de Developpement,9911000.0,5779000.0,2016-07-05,Project Under Implementation,Regular Size Project
Pakistan,"Enhance community, local and national-level urban climate change resilience to water scarcity, caused by floods and droughts in Rawalpindi and Nowshera, Pakistan",https://www.adaptation-fund.org/project/enhance-community-local-and-national-level-urban-climate-change-resilience-to-water-scarcity-caused-by-floods-and-droughts-in-rawalpindi-and-nowshera-pakistan-2/,UN-Habitat,6094000.0,2868775.0,2020-06-01,Project Under Implementation,Regular Size Project
Pakistan,Reducing Risks and Vulnerabilities from Glacier Lake Outburst Floods in Northern Pakistan,https://www.adaptation-fund.org/project/reducing-risks-and-vulnerabilities-from-glacier-lake-outburst-floods-in-northern-pakistan/,UN Development Programme,3906000.0,3906000.0,2010-12-15,Project Completed,Regular Size Project
Panama,Adapting to climate change through integrated water management in Panama,https://www.adaptation-fund.org/project/adapting-climate-change-integrated-water-management-panama/,Fundacion Natura,9967559.0,9967559.0,2016-10-05,Project Under Implementation,Regular Size Project
Papua New Guinea,Adaptation of Small-Scale Agriculture for Improved Food Security of Resilient Communities in Papua New Guinea (ASSA),https://www.adaptation-fund.org/project/adaptation-of-small-scale-agriculture-for-improved-food-security-of-resilient-communities-in-papua-new-guinea-assa/,The Pacific Community,10000000.0,1095452.0,2023-03-24,Proposal Approved,Regular Size Project
Papua New Guinea,Enhancing adaptive capacity of communities to climate change-related floods in the North Coast and Islands Region of Papua New Guinea,https://www.adaptation-fund.org/project/enhancing-adaptive-capacity-of-communities-to-climate-change-related-floods-in-the-north-coast-and-islands-region-of-papua-new-guinea/,UN Development Programme,6530373.0,6530373.0,2012-03-16,Project Completed,Regular Size Project
Paraguay,Ecosystem Based Approaches for Reducing the Vulnerability of Food Security to the Impacts of Climate Change in the Chaco region of Paraguay,https://www.adaptation-fund.org/project/ecosystem-based-approaches-reducing-vulnerability-food-security-impacts-climate-change-chaco-region-paraguay/,UN Environment Programme,7128450.0,2479357.0,2017-03-17,Project Under Implementation,Regular Size Project
Peru,"AYNINACUY: Strengthening the livelihoods of vulnerable highland communities in the provinces of Arequipa, Caylloma, Condesuyos, Castilla and La Union in the Region of Arequipa, Peru",https://www.adaptation-fund.org/project/ayninacuy-strategies-adaptation-climate-change-preservation-livestock-capital-livelihoods-highland-rural-communities-provinces-arequipa-caylloma-condesuyos-cast/,Development Bank of Latin America,2941446.0,2941446.0,2017-03-17,Project Under Implementation,Regular Size Project
Peru,Adaptation to the Impacts of Climate Change on Peru's Coastal Marine Ecosystem and Fisheries,https://www.adaptation-fund.org/project/adaptation-to-the-impacts-of-climate-change-on-perus-coastal-marine-ecosystem-and-fisheries-2/,Peruvian Trust Fund for National Parks and Protected Areas,6950239.0,6950239.0,2016-03-18,Project Under Implementation,Regular Size Project
Regional,"Use of Nature-based Solutions to Increase Resilience to Extreme Climate Events in the Atlantic Region of Central America (Belize, Guatemala, Honduras)",https://www.adaptation-fund.org/project/use-of-nature-based-solutions-to-increase-resilience-to-extreme-climate-events-in-the-atlantic-region-of-central-america-belize-guatemala-honduras/,Central American Bank for Economic Integration,13248121.0,1213000.0,2022-07-28,Proposal Approved,Regular Size Project
Regional,Improved Resilience of Coastal Communities in Côte d’Ivoire and Ghana,https://www.adaptation-fund.org/project/improved-resilience-of-coastal-communities-in-cote-divoire-and-ghana-2/,UN-Habitat,13991159.0,0.0,2023-08-28,Proposal Approved,Regular Size Project
Regional,"Strengthening Resilience of Vulnerable Communities in Sri Lanka and India to Increased Impacts of Climate Change (India, Sri Lanka)",https://www.adaptation-fund.org/project/strengthening-resilience-of-vulnerable-communities-in-sri-lanka-and-india-to-increased-impacts-of-climate-change-sri-lanka-india/,UN World Food Programme,13995524.0,2138450.0,2023-03-13,Proposal Approved,Regular Size Project
Regional,Strengthening Resilience to Climate and Covid-19 shocks through Integrated Water Management on the Sudan – Chad Border area (SCCIWM),https://www.adaptation-fund.org/project/strengthening-resilience-to-climate-and-covid-19-shocks-through-integrated-water-management-on-the-sudan-chad-border-area-scciwm/,Food and Agriculture Organization of the United Nations,14000000.0,0.0,2022-04-08,Proposal Approved,Regular Size Project
Regional,"Strengthening the Adaptive Capacities of Climate-Vulnerable Communities in the Goascorán Watershed of El Salvador and Honduras through Integrated Community-Based Adaptation Practices and Services (El Salvador, Honduras)",https://www.adaptation-fund.org/project/strengthening-the-adaptive-capacities-of-climate-vulnerable-communities-in-the-goascoran-watershed-of-el-salvador-and-honduras-through-integrated-community-based-adaptation-practices-and-services/,UN World Food Programme,12048300.0,2046280.0,2022-10-14,Proposal Approved,Regular Size Project
Regional,"Scaling-up climate-resilient rice production in West Africa (Benin, Burkina Faso, Côte d’Ivoire, Gambia (Republic of the), Ghana, Guinea, Liberia, Mali, Niger, Nigeria, Senegal, Sierra Leone and Togo)",https://www.adaptation-fund.org/project/scaling-up-climate-resilient-rice-production-in-west-africa-benin-burkina-faso-co%cc%82te-divoire-the-gambia-ghana-guinea-liberia-mali-niger-nigeria-senegal-sierra-leone-and-togo/,Sahara and Sahel Observatory,14000000.0,3569250.0,2021-10-21,Project Under Implementation,Regular Size Project
Regional,"West and Central Africa Small Island Developing States ADAPT - Building resilience of agricultural systems to climate change (Cabo Verde, Guinea Bissau, Sao Tome and Principe)",https://www.adaptation-fund.org/project/west-and-central-africa-small-island-developing-states-adapt-building-resilience-of-agricultural-systems-to-climate-change-cabo-verde-guinea-bissau-sao-tome-and-principe/,International Fund Agricultural Dev,14000000.0,0.0,2023-03-24,Proposal Approved,Regular Size Project
Regional,Increasing the resilience of both displaced persons and host communities to climate change-related water challenges in Jordan and Lebanon,https://www.adaptation-fund.org/project/increasing-the-resilience-of-both-displaced-persons-and-host-communities-to-climate-change-related-water-challenges-in-jordan-and-lebanon/,UN-Habitat,13973509.0,9334317.0,2021-03-11,Project Under Implementation,Regular Size Project
Regional,"Mekong EbA South: Enhancing Climate Resilience in the Greater Mekong Sub-region through Ecosystem-based Adaptation in the Context of South-South Cooperation (Thailand, Viet Nam)",https://www.adaptation-fund.org/project/mekong-eba-south-enhancing-climate-resilience-in-the-greater-mekong-sub-region-through-ecosystem-based-adaptation-in-the-context-of-south-south-cooperation-thailand-viet-nam/,UN Environment Programme,7000000.0,834690.0,2021-03-11,Proposal Approved,Regular Size Project
Regional,"Reducing vulnerabilities of populations in the Central Asia region from glacier lake outburst floods in a changing climate (Kazakhstan, Kyrgyzstan, Tajikistan, Uzbekistan)",https://www.adaptation-fund.org/project/reducing-vulnerabilities-of-populations-in-the-central-asia-region-from-glacier-lake-outburst-floods-in-a-changing-climate/,"United Nations Educational, Scientific and Cultural Organization",6500000.0,2957902.0,2020-10-15,Project Under Implementation,Regular Size Project
Regional,"Strengthening Drought Resilience for Small Holder Farmers and Pastoralists in the IGAD Region (Djibouti, Kenya, Sudan, Uganda)",https://www.adaptation-fund.org/project/djibouti-kenya-sudan-and-uganda-strengthening-drought-resilience-for-small-holder-farmers-and-pastoralists-in-the-igad-region/,Sahara and Sahel Observatory,13079540.0,10200000.0,2019-10-11,Project Under Implementation,Regular Size Project
Regional,"Resilience building as climate change adaptation in drought-struck South-western African communities (Angola, Namibia)",https://www.adaptation-fund.org/project/angola-and-namibia-resilience-building-as-climate-change-adaptation-in-drought-struck-south-western-african-communities/,Sahara and Sahel Observatory,11941038.0,4868000.0,2021-07-26,Project Under Implementation,Regular Size Project
Regional,"Enhancing Adaptive Capacity of Andean Communities through Climate Services (ENANDES) (Chile, Colombia, Peru)",https://www.adaptation-fund.org/project/chile-colombia-peru-enhancing-adaptive-capacity-andean-communities-climate-services-enandes/,World Meteorological Organization,7432250.0,4459200.0,2019-07-08,Project Under Implementation,Regular Size Project
Regional,"Building urban climate resilience in south-eastern Africa (Madagascar, Malawi, Mozambique, Union of Comoros)",https://www.adaptation-fund.org/project/building-urban-climate-resilience-south-eastern-africa-madagascar-malawi-mozambique-union-comoros-2/,UN-Habitat,13997423.0,10702973.0,2019-07-15,Project Under Implementation,Regular Size Project
Regional,"Integrated climate-resilient transboundary flood risk management in the Drin River basin in the Western Balkans (Albania, the Former Yugoslav Republic of Macedonia, Montenegro)",https://www.adaptation-fund.org/project/integrated-climate-resilient-transboundary-flood-risk-management-drin-river-basin-western-balkans-albania-former-yugoslav-republic-macedonia-montenegro/,UN Development Programme,9927750.0,9011537.0,2019-03-15,Project Under Implementation,Regular Size Project
Regional,"Integration of climate change adaptation measures in the concerted management of the WAP transboundary complex: ADAPT-WAP (Benin, Burkina Faso, Niger)",https://www.adaptation-fund.org/project/integration-climate-change-adaptation-measures-concerted-management-wap-transboundary-complex-adapt-wap-benin-burkina-faso-niger/,Sahara and Sahel Observatory,11536200.0,5048450.0,2019-07-15,Project Under Implementation,Regular Size Project
Regional,"Climate Change adaptation in vulnerable coastal cities and ecosystems of the Uruguay River (Argentina, Uruguay)",https://www.adaptation-fund.org/project/climate-change-adaptation-vulnerable-coastal-cities-ecosystems-uruguay-river-argentina-uruguay-2/,Development Bank of Latin America,13999996.0,7699998.0,2019-07-15,Project Under Implementation,Regular Size Project
Regional,"Integrating Flood and Drought Management and Early Warning for Climate Change Adaptation in the Volta Basin (Benin, Burkina Faso, Côte d’Ivoire, Ghana, Mali, Togo)",https://www.adaptation-fund.org/project/integrating-flood-drought-management-early-warning-climate-change-adaptation-volta-basin-benin-burkina-faso-cote-divoire-ghana-mali-togo/,World Meteorological Organization,7920000.0,7920000.0,2018-10-12,Project Under Implementation,Regular Size Project
Regional,"Restoring marine ecosystem services by rehabilitating coral reefs to meet a changing climate future (Mauritius, Seychelles)",https://www.adaptation-fund.org/project/restoring-marine-ecosystem-services-restoring-coral-reefs-meet-changing-climate-future-mauritius-seychelles/,UN Development Programme,10000000.0,5080435.0,2018-10-12,Project Under Implementation,Regular Size Project
Regional,"Promoting Climate-Smart Agriculture in West Africa (Benin, Burkina Faso, Ghana, Niger, Togo)",https://www.adaptation-fund.org/project/promoting-climate-smart-agriculture-west-africa-benin-burkina-faso-ghana-niger-togo/,Banque Ouest Africaine de Developpement,14000000.0,12282000.0,2018-07-16,Project Under Implementation,Regular Size Project
Regional,"Reducing climate vulnerability and flood risk in coastal urban and semi urban areas in cities in Latin America (Chile, Ecuador)",https://www.adaptation-fund.org/project/chile-ecuador-reducing-climate-vulnerability-flood-risk-coastal-urban-semi-urban-areas-cities-latin-america/,Development Bank of Latin America,13910400.0,12364523.0,2018-07-16,Project Under Implementation,Regular Size Project
Regional,"Groundwater resources in the Greater Mekong Subregion: Collaborative management to increase resilience (Cambodia, Lao People’s Democratic Republic, Thailand, Viet Nam)",https://www.adaptation-fund.org/project/groundwater-resources-greater-mekong-subregion-collaborative-management-increase-resilience-cambodia-lao-peoples-democratic-republic-myanmar-thailand-vietnam-2/,"United Nations Educational, Scientific and Cultural Organization",4898775.0,535000.0,2022-07-28,Proposal Approved,Regular Size Project
Regional,"Adapting to Climate Change in Lake Victoria Basin (Burundi, Kenya, Rwanda, Tanzania, Uganda)",https://www.adaptation-fund.org/project/adapting-climate-change-lake-victoria-basin-burundi-kenya-rwanda-tanzania-uganda/,UN Environment Programme,5000000.0,5000000.0,2017-07-05,Project Under Implementation,Regular Size Project
Regional,"Building adaptive capacity through food and nutrition security and peacebuilding actions in vulnerable Afro and indigenous communities in the Colombia-Ecuador border area (Colombia, Ecuador)",https://www.adaptation-fund.org/project/building-adaptive-capacity-climate-change-food-security-nutrition-actions-vulnerable-afro-indigenous-communities-colombia-ecuador-border-area-colombia-ecuador-2/,UN World Food Programme,14000000.0,11644031.0,2017-07-05,Project Under Implementation,Regular Size Project
Regional,"Agricultural Climate Resilience Enhancement Initiative (ACREI) (Ethiopia, Kenya, Uganda)",https://www.adaptation-fund.org/project/agricultural-climate-resilience-enhancement-initiative-acrei-ethiopia-kenya-uganda/,World Meteorological Organization,6800000.0,6800000.0,2017-03-17,Project Under Implementation,Regular Size Project
Rwanda,Reducing Vulnerability to Climate Change in North West Rwanda through Community Based Adaptation,https://www.adaptation-fund.org/project/reducing-vulnerability-to-climate-change-in-north-west-rwanda-through-community-based-adaptation/,"Ministry of Environment, Rwanda",9969619.0,9969619.0,2013-11-01,Project Completed,Regular Size Project
Saint Lucia,Building resilience for adaptation to climate change and climate vulnernabilities in agriculture in Saint Lucia,https://www.adaptation-fund.org/project/building-resilience-adaptation-climate-change-climate-vulnernabilities-agriculture-saint-lucia/,Caribbean Development Bank,9858570.0,4271552.0,2019-07-08,Project Under Implementation,Regular Size Project
Samoa,Enhancing Resilience of Samoa's Coastal Communities to Climate Change,https://www.adaptation-fund.org/project/enhancing-resilience-of-samoas-coastal-communities-to-climate-change/,UN Development Programme,8732351.0,8732351.0,2011-12-14,Project Completed,Regular Size Project
Senegal,Reducing vulnerability and increasing resilience of coastal communities in the Saloum Islands (Dionewar and Fadial),https://www.adaptation-fund.org/project/reducing-vulnerability-increasing-resilience-coastal-communities-saloum-islands-dionewar/,Centre de Suivi Ecologique,1351000.0,1351000.0,2017-07-05,Project Under Implementation,Regular Size Project
Senegal,Adaptation to Coastal Erosion in Vulnerable Areas,https://www.adaptation-fund.org/project/adaptation-to-coastal-erosion-in-vulnerable-areas/,Centre de Suivi Ecologique,8619000.0,8619000.0,2010-09-17,Project Completed,Regular Size Project
Seychelles,Ecosystem Based Adaptation to Climate Change in Seychelles,https://www.adaptation-fund.org/project/ecosystem-based-adaptation-to-climate-change-in-seychelles/,UN Development Programme,6455750.0,6455750.0,2012-12-20,Project Completed,Regular Size Project
Sierra Leone,Promoting Climate Resilience in the Cocoa and Rice Sectors as an Adaptation Strategy in Sierra Leone,https://www.adaptation-fund.org/project/promoting-climate-resilience-coco-rice-sector-sierra-leone/,International Fund Agricultural Dev,9916925.0,2940567.0,2019-07-08,Project Under Implementation,Regular Size Project
Solomon Islands,Enhancing urban resilience to climate change impacts and natural disasters: Honiara,https://www.adaptation-fund.org/project/enhancing-urban-resilience-climate-change-impacts-natural-disasters-honiara-3/,UN-Habitat,4395877.0,2202550.0,2017-10-10,Project Under Implementation,Regular Size Project
Solomon Islands,Enhancing resilience of communities in Solomon Islands to the adverse effects of climate change in agriculture and food security,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-in-solomon-islands-to-the-adverse-effects-of-climate-change-in-agriculture-and-food-security/,UN Development Programme,5533500.0,5533500.0,2011-03-18,Project Completed,Regular Size Project
South Africa,Taking adaptation to the ground: A small Grants Facility for enabling local-level responses to climate change,https://www.adaptation-fund.org/project/taking-adaptation-to-the-ground-a-small-grants-facility-for-enabling-local-level-responses-to-climate-change/,South Africa National Biodiversity Institution,2442682.0,2442682.0,2014-10-10,Project Completed,Regular Size Project
South Africa,"Building Resilience in the greater uMngeni Catchment, South Africa",https://www.adaptation-fund.org/project/building-resilience-in-the-greater-umngeni-catchment/,South Africa National Biodiversity Institution,7495055.0,7495055.0,2014-10-10,Project Under Implementation,Regular Size Project
Sri Lanka,Build Resilience to Climate Change and Climate Variability of Vulnerable Communities in Mullaitivu District of Sri Lanka,https://www.adaptation-fund.org/project/build-resilience-to-climate-change-and-climate-variability-of-vulnerable-communities-in-mullaitivu-district-of-sri-lanka/,UN-Habitat,2000000.0,1032591.0,2023-03-13,Proposal Approved,Regular Size Project
Sri Lanka,Addressing Climate Change Impacts on Marginalized Agricultural Communities Living in the Mahaweli River Basin of Sri Lanka,https://www.adaptation-fund.org/project/addressing-climate-change-impacts-on-marginalized-agricultural-communities-living-in-the-mahaweli-river-basin-of-sri-lanka/,UN World Food Programme,7989727.0,7989727.0,2012-12-14,Project Completed,Regular Size Project
Syrian Arab Republic,Increasing the climate change resilience of communities in Eastern Ghouta in Rural Damascus to water scarcity challenges through integrated natural resource management and immediate adaptation interventions,https://www.adaptation-fund.org/project/climate-change-resilient-communities-through-integrated-natural-resource-management-in-eastern-ghouta-in-rural-damascus-syria/,UN-Habitat,9997156.0,9997156.0,2021-04-08,Project Under Implementation,Regular Size Project
Tajikistan,An integrated landscape approach to enhancing the climate resilience of small-scale farmers and pastoralists in Tajikistan,https://www.adaptation-fund.org/project/integrated-landscape-approach-enhancing-climate-resilience-small-scale-farmers-pastoralists-tajikistan-2/,UN Development Programme,9996441.0,8136171.0,2019-07-08,Project Under Implementation,Regular Size Project
"Tanzania, United Republic of",Strategic Water Harvesting Technologies for Enhancing Resilience to Climate Change in Rural Communities in Semi-Arid Areas of Tanzania (SWAHAT),https://www.adaptation-fund.org/project/strategic-water-harvesting-technologies-for-enhancing-resilience-to-climate-change-in-rural-communities-in-semi-arid-areas-of-tanzania-swahat-2/,National Environment Management Council,1280000.0,815728.0,2020-09-23,Project Under Implementation,Regular Size Project
"Tanzania, United Republic of",Bunda Climate Resilience and Adaptation Project,https://www.adaptation-fund.org/project/bunda-climate-resilience-and-adaptation-project-2/,National Environment Management Council,1400000.0,786269.0,2021-04-08,Project Under Implementation,Regular Size Project
"Tanzania, United Republic of",Enhancing Climate Change Resilience of Coastal Communities of Zanzibar,https://www.adaptation-fund.org/project/enhancing-climate-change-resilience-of-coastal-communities-of-zanzibar-2/,National Environment Management Council,1000000.0,243023.0,2020-06-01,Project Under Implementation,Regular Size Project
"Tanzania, United Republic of",Enhancing Climate Change Adaptation for Agro-Pastoral Communities in Kongwa District,https://www.adaptation-fund.org/project/enhancing-climate-change-adaptation-for-agro-pastoral-communities-in-kongwa-district/,National Environment Management Council,1200000.0,848030.0,2020-06-01,Project Under Implementation,Regular Size Project
"Tanzania, United Republic of",Implementation Of Concrete Adaptation Measures To Reduce Vulnerability Of Livelihood and Economy Of Coastal Communities In Tanzania,https://www.adaptation-fund.org/project/implementation-of-concrete-adaptation-measures-to-reduce-vulnerability-of-livelihood-and-economy-of-coastal-communities-in-tanzania/,UN Environment Programme,5008564.0,5008564.0,2011-12-14,Project Completed,Regular Size Project
Trinidad and Tobago,Multisectoral Adaptation Measures to Climate Change in the South Oropouche River Basin for Flood Relief,https://www.adaptation-fund.org/project/multisectoral-adaptation-measures-to-climate-change-in-the-south-oropouche-river-basin-for-flood-relief/,Development Bank of Latin America,10000000.0,1951402.0,2022-04-08,Proposal Approved,Regular Size Project
Tunisia,"Economic, Social and Solidarity Insertion for Resilience in the Governorate of Kairouan (IESS Adapt)",https://www.adaptation-fund.org/project/economic-social-and-solidarity-insertion-for-resilience-in-the-governorate-of-kairouan-iess-adapt-2/,International Fund Agricultural Dev,9997190.0,2278477.0,2020-06-01,Project Under Implementation,Regular Size Project
Turkmenistan,Addressing climate change risks to farming systems in Turkmenistan at national and community level,https://www.adaptation-fund.org/project/addressing-climate-change-risks-to-farming-systems-in-turkmenistan-at-national-and-community-level/,UN Development Programme,2929500.0,2929500.0,2011-06-22,Project Completed,Regular Size Project
Uganda,"Enhancing Community Adaptation to Climate Change through Climate Resilient Flood Early Warning, Catchment Management and Wash Technologies in Mpologoma Catchment, Uganda",https://www.adaptation-fund.org/project/enhancing-community-adaptation-to-climate-change-through-climate-resilient-flood-early-warning-catchment-management-and-wash-technologies-in-mpologoma-catchment-uganda-2/,Ministry of Water and Environment of Uganda,9504600.0,0.0,2022-10-14,Proposal Approved,Regular Size Project
Uganda,Enhancing resilience of communities to climate change through catchment-based integrated management of water and related resources in Uganda,https://www.adaptation-fund.org/project/enhancing-resilience-of-communities-to-climate-change-through-catchment-based-integrated-management-of-water-and-related-resources-in-uganda/,Sahara and Sahel Observatory,7751000.0,7751000.0,2016-07-05,Project Under Implementation,Regular Size Project
Uruguay,Building resilience to climate change and variability in vulnerable smallholders,https://www.adaptation-fund.org/project/uruguay-helping-small-farmers-adapt-to-climate-change/,Agencia Nacl Investigacion Innov UY,9967678.0,9967678.0,2011-12-14,Project Completed,Regular Size Project
Uzbekistan,Developing climate resilience of farming communities in the drought prone parts of Uzbekistan,https://www.adaptation-fund.org/project/developing-climate-resilience-of-farming-communities-in-the-drought-prone-parts-of-uzbekistan/,UN Development Programme,5415103.0,5415103.0,2014-02-10,Project Completed,Regular Size Project
Viet Nam,Enhancing the resilience inclusive and sustainable eco-human settlement development through small scale infrastructure interventions in the coastal regions of the Mekong Delta in Viet Nam,https://www.adaptation-fund.org/project/enhancing-the-resilience-inclusive-and-sustainable-eco-human-settlement-development-through-small-scale-infrastructure-interventions-in-the-coastal-regions-of-the-mekong-delta-in-viet-nam-2/,UN-Habitat,6345292.0,2294429.0,2020-06-01,Project Under Implementation,Regular Size Project
Zimbabwe,Strengthening Local Communities’ Adaptive Capacity and Resilience to Climate Change through Sustainable Groundwater Utilisation in Zimbabwe,https://www.adaptation-fund.org/project/strengthening-local-communities-adaptive-capacity-and-resilience-to-climate-change-through-sustainable-groundwater-exploitation-in-zimbabwe-2/,"United Nations Educational, Scientific and Cultural Organization",5000000.0,409792.0,2021-04-08,Proposal Approved,Regular Size Project
